run_number,percent_cohort2,cohort2_age,percent_grammar_1,eq_step,max_steps,eq_percent
9951,20,150,50,126,1000,0.126
9952,20,150,60,235,1000,0.235
9953,20,150,70,87,1000,0.087
9954,20,150,80,105,1000,0.105
9955,20,150,90,82,1000,0.082
9956,35,150,10,71,1000,0.071
9957,35,150,20,70,1000,0.07
9958,35,150,30,96,1000,0.096
9959,35,150,35,118,1000,0.118
9960,35,150,40,178,1000,0.178
9961,35,150,45,95,1000,0.095
9962,35,150,50,87,1000,0.087
9963,35,150,60,161,1000,0.161
9964,35,150,70,115,1000,0.115
9965,35,150,80,122,1000,0.122
9966,35,150,90,72,1000,0.072
9967,50,150,10,74,1000,0.074
9968,50,150,20,100,1000,0.1
9969,50,150,30,116,1000,0.116
9970,50,150,35,115,1000,0.115
9971,50,150,40,259,1000,0.259
9972,50,150,45,40,1000,0.04
9973,50,150,50,390,1000,0.39
9974,50,150,60,499,1000,0.499
9975,50,150,70,129,1000,0.129
9976,50,150,80,142,1000,0.142
9977,50,150,90,62,1000,0.062
9978,65,150,10,40,1000,0.04
9979,65,150,20,80,1000,0.08
9980,65,150,30,132,1000,0.132
9981,65,150,35,129,1000,0.129
9982,65,150,40,581,1000,0.581
9983,65,150,45,51,1000,0.051
9984,65,150,50,137,1000,0.137
9985,65,150,60,164,1000,0.164
9986,65,150,70,78,1000,0.078
9987,65,150,80,46,1000,0.046
9988,65,150,90,64,1000,0.064
9989,75,150,10,61,1000,0.061
9990,75,150,20,77,1000,0.077
9991,75,150,30,92,1000,0.092
9992,75,150,35,166,1000,0.166
9993,75,150,40,138,1000,0.138
9994,75,150,45,154,1000,0.154
9995,75,150,50,119,1000,0.119
9996,75,150,60,22,1000,0.022
9997,75,150,70,94,1000,0.094
9998,75,150,80,92,1000,0.092
9999,75,150,90,78,1000,0.078
10000,90,150,10,72,1000,0.072
10001,90,150,20,87,1000,0.087
10002,90,150,30,101,1000,0.101
10003,90,150,35,147,1000,0.147
10004,90,150,40,179,1000,0.179
10005,90,150,45,69,1000,0.069
10006,90,150,50,156,1000,0.156
10007,90,150,60,127,1000,0.127
10008,90,150,70,107,1000,0.107
10009,90,150,80,123,1000,0.123
10010,90,150,90,56,1000,0.056
10011,10,300,10,83,1000,0.083
10012,10,300,20,62,1000,0.062
10013,10,300,30,260,1000,0.26
10014,10,300,35,96,1000,0.096
10015,10,300,40,152,1000,0.152
10016,10,300,45,294,1000,0.294
10017,10,300,50,99,1000,0.099
10018,10,300,60,52,1000,0.052
10019,10,300,70,124,1000,0.124
10020,10,300,80,92,1000,0.092
10021,10,300,90,66,1000,0.066
10022,20,300,10,81,1000,0.081
10023,20,300,20,74,1000,0.074
10024,20,300,30,107,1000,0.107
10025,20,300,35,105,1000,0.105
10026,20,300,40,109,1000,0.109
10027,20,300,45,34,1000,0.034
10028,20,300,50,140,1000,0.14
10029,20,300,60,125,1000,0.125
10030,20,300,70,61,1000,0.061
