run_number,alpha,sink_state_1,threshold_val,logistic,update_algorithm,num_nodes,percent_grammar_1,simulation_limit,initial_gamma,deterministic_gamma,gamma_sd,gamma_with_age,gamma_cost,initial_gamma_based_on_age,deterministic_age,cohort1_age,age_sd,percent_cohort2,cohort2_age,chance_listen_to_outgroup,cohort_based_grammar,c1_percent_grammar_1,c2_percent_grammar_1,step,mean_state_of_nodes
2226,0,TRUE,0.3,TRUE,reward,40,35,1000,0.03,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.12202837806534354
2227,0,TRUE,0.3,TRUE,reward,40,40,1000,0.03,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00189299265983614
2224,0,TRUE,0.3,TRUE,reward,40,20,1000,0.03,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00511485118261787
2229,0,TRUE,0.3,TRUE,reward,40,50,1000,0.03,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.1425976839537499
2228,0,TRUE,0.3,TRUE,reward,40,45,1000,0.03,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.13878589919189813
2231,0,TRUE,0.3,TRUE,reward,40,70,1000,0.03,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9956871371560024
2230,0,TRUE,0.3,TRUE,reward,40,60,1000,0.03,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.8133853398241906
2232,0,TRUE,0.3,TRUE,reward,40,80,1000,0.03,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9941164314091582
2235,0,TRUE,0.3,TRUE,reward,40,20,1000,0.04,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.01053439744411198
2233,0,TRUE,0.3,TRUE,reward,40,90,1000,0.03,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.994186199154094
2234,0,TRUE,0.3,TRUE,reward,40,10,1000,0.04,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.01470793878828924
2236,0,TRUE,0.3,TRUE,reward,40,30,1000,0.04,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.1277076481107647
2239,0,TRUE,0.3,TRUE,reward,40,45,1000,0.04,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.01991209260526561
2238,0,TRUE,0.3,TRUE,reward,40,40,1000,0.04,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00217287409717969
2240,0,TRUE,0.3,TRUE,reward,40,50,1000,0.04,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.4396039809493827
2244,0,TRUE,0.3,TRUE,reward,40,90,1000,0.04,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9947084358755656
2242,0,TRUE,0.3,TRUE,reward,40,70,1000,0.04,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9916276968239752
2246,0,TRUE,0.3,TRUE,reward,40,20,1000,0.05,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00406422989078153
2243,0,TRUE,0.3,TRUE,reward,40,80,1000,0.04,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.99183314906681
2237,0,TRUE,0.3,TRUE,reward,40,35,1000,0.04,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.20158487932025188
2247,0,TRUE,0.3,TRUE,reward,40,30,1000,0.05,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.13732575903020378
2245,0,TRUE,0.3,TRUE,reward,40,10,1000,0.05,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00686616103413449
2241,0,TRUE,0.3,TRUE,reward,40,60,1000,0.04,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9947841492141404
